scenario,scenario_label,country,layer,DE,rho,multiplier,cum_dDWT,avg_dprice,exposure_channel,price_channel,structural_benchmark,avg_monthly_dlog,peak_month_dlog,pct_change_import,import_2024_usd,dollar_impact_usd
S1_14day,S1: 14-day transient shock,AGO,wheat,0.0,0.1069895866150392,1.119807770448605,-0.5,0.007651057382741089,0.0,0.005512559026174804,0.0,0.005512559026174805,0.0,0.005527781137758869,195715331.448,1081871.5175484796
S1_14day,S1: 14-day transient shock,AND,wheat,0.0,0.1069895866150392,1.119807770448605,-0.5,0.007651057382741089,0.0,0.005512559026174804,0.0,0.005512559026174805,0.0,0.005527781137758869,381.233,2.107372586491227
S1_14day,S1: 14-day transient shock,ARG,wheat,0.0,0.1069895866150392,1.119807770448605,-0.5,0.007651057382741089,0.0,0.005512559026174804,0.0,0.005512559026174805,0.0,0.005527781137758869,46811.04,258.76118395087593
S1_14day,S1: 14-day transient shock,ARM,wheat,0.0,0.1069895866150392,1.119807770448605,-0.5,0.007651057382741089,0.0,0.005512559026174804,0.0,0.005512559026174805,0.0,0.005527781137758869,60723127.7,335664.1599257831
S1_14day,S1: 14-day transient shock,ATG,wheat,0.0,0.1069895866150392,1.119807770448605,-0.5,0.007651057382741089,0.0,0.005512559026174804,0.0,0.005512559026174805,0.0,0.005527781137758869,1532.462,8.471114537932232
S1_14day,S1: 14-day transient shock,AUS,wheat,0.0,0.1069895866150392,1.119807770448605,-0.5,0.007651057382741089,0.0,0.005512559026174804,0.0,0.005512559026174805,0.0,0.005527781137758869,59586.195,329.37944479182187
S1_14day,S1: 14-day transient shock,AZE,wheat,0.0,0.1069895866150392,1.119807770448605,-0.5,0.007651057382741089,0.0,0.005512559026174804,0.0,0.005512559026174805,0.0,0.005527781137758869,279685550.33,1546040.5096178828
S1_14day,S1: 14-day transient shock,BEL,wheat,0.0,0.1069895866150392,1.119807770448605,-0.5,0.007651057382741089,0.0,0.005512559026174804,0.0,0.005512559026174805,0.0,0.005527781137758869,997236334.201,5512504.198084088
S1_14day,S1: 14-day transient shock,BFA,wheat,0.0,0.1069895866150392,1.119807770448605,-0.5,0.007651057382741089,0.0,0.005512559026174804,0.0,0.005512559026174805,0.0,0.005527781137758869,105085328.634,580888.6974782172
S1_14day,S1: 14-day transient shock,BGR,wheat,7.098952519177502e-06,0.1069895866150392,1.119807770448605,-0.5,0.007651057382741089,-8.320678352543385e-07,0.005512559026174804,-2.9579021324872287e-07,0.005512227797995585,0.0,0.005527448078677927,29139228.561,161065.57292365644
S1_14day,S1: 14-day transient shock,BIH,wheat,0.0,0.1069895866150392,1.119807770448605,-0.5,0.007651057382741089,0.0,0.005512559026174804,0.0,0.005512559026174805,0.0,0.005527781137758869,68735454.595,379954.5494055222
S1_14day,S1: 14-day transient shock,BLZ,wheat,0.0,0.1069895866150392,1.119807770448605,-0.5,0.007651057382741089,0.0,0.005512559026174804,0.0,0.005512559026174805,0.0,0.005527781137758869,7843987.53,43359.846313149785
S1_14day,S1: 14-day transient shock,BOL,wheat,0.0,0.1069895866150392,1.119807770448605,-0.5,0.007651057382741089,0.0,0.005512559026174804,0.0,0.005512559026174805,0.0,0.005527781137758869,5854038.0,32359.840836123654
S1_14day,S1: 14-day transient shock,BRA,wheat,0.0,0.1069895866150392,1.119807770448605,-0.5,0.007651057382741089,0.0,0.005512559026174804,0.0,0.005512559026174805,0.0,0.005527781137758869,1807657162.0,9992333.16363833
S1_14day,S1: 14-day transient shock,BRB,wheat,0.0,0.1069895866150392,1.119807770448605,-0.5,0.007651057382741089,0.0,0.005512559026174804,0.0,0.005512559026174805,0.0,0.005527781137758869,4885560.5,27006.30917927979
S1_14day,S1: 14-day transient shock,CAN,wheat,2.022789528559336e-06,0.1069895866150392,1.119807770448605,-0.5,0.007651057382741089,-2.3709104965228277e-07,0.005512559026174804,-8.428293964433856e-08,0.005512464645484074,0.0,0.005527686235356814,26364581.805,145735.1359444372
S1_14day,S1: 14-day transient shock,CHE,wheat,3.790187319381138e-07,0.1069895866150392,1.119807770448605,-0.5,0.007651057382741089,-4.442476477376554e-08,0.005512559026174804,-1.5792448661209656e-08,0.0055125413416680785,0.0,0.005527763355496217,133716346.263,739152.3189034549
S1_14day,S1: 14-day transient shock,CHL,wheat,0.0,0.1069895866150392,1.119807770448605,-0.5,0.007651057382741089,0.0,0.005512559026174804,0.0,0.005512559026174805,0.0,0.005527781137758869,293904494.055,1624639.7185397928
S1_14day,S1: 14-day transient shock,CHN,wheat,0.0,0.1069895866150392,1.119807770448605,-0.5,0.007651057382741089,0.0,0.005512559026174804,0.0,0.005512559026174805,0.0,0.005527781137758869,3481676591.0,19245946.1875064
