flow_loss,importers_cut,lwcc_after_rel,eff_after_rel,eff_drop,year,layer
0.00033393018034966193,0,0.9803921568627451,1.0390762651251066,-0.039076265125106646,2020,wheat
0.14691998059585187,0,0.9788732394366197,0.9055065506575372,0.09449344934246284,2020,ammonia
0.24016399017210832,0,0.9731543624161074,0.8411081770634953,0.15889182293650472,2020,urea
0.264798522407827,2,0.950354609929078,0.9100619843342128,0.08993801566578719,2020,lpg_propane
0.4392344269331827,0,0.9685534591194969,0.7002419250337438,0.29975807496625617,2020,lpg_butane
0.0004981100464739319,0,0.9810126582278481,1.0383161456548642,-0.03831614565486419,2021,wheat
0.12024134400301068,0,0.9858156028368794,0.8990970158880164,0.10090298411198362,2021,ammonia
0.22284538556002442,0,0.9866666666666667,0.8337627931912787,0.16623720680872134,2021,urea
0.22940005434120192,2,0.9523809523809523,0.9180021758897107,0.08199782411028933,2021,lpg_propane
0.38628503689895866,0,0.9743589743589743,0.7538821455241186,0.24611785447588141,2021,lpg_butane
0.000709843957206191,0,0.9801324503311258,1.0402286196785284,-0.04022861967852842,2022,wheat
0.1889320075711577,0,0.9855072463768116,0.8563556647393057,0.1436443352606943,2022,ammonia
0.21970505380506156,0,0.9794520547945206,0.8472739520686228,0.15272604793137723,2022,urea
0.26217890700643465,3,0.9591836734693877,0.8781673141151588,0.1218326858848412,2022,lpg_propane
0.420492349406535,0,0.9741935483870968,0.719532125862159,0.280467874137841,2022,lpg_butane
0.0007719004791711948,0,0.98,1.040347438950134,-0.04034743895013393,2023,wheat
0.19517824219883206,0,0.9846153846153847,0.857349009795292,0.14265099020470795,2023,ammonia
0.2011237177880788,0,0.9795918367346939,0.8608313007170887,0.1391686992829113,2023,urea
0.2716840800809265,2,0.9637681159420289,0.8613011393493866,0.13869886065061343,2023,lpg_propane
0.44314968985351555,0,0.9703703703703703,0.7014400326674672,0.29855996733253276,2023,lpg_butane
0.0013153554002568457,0,0.9793103448275862,1.0380896248514548,-0.03808962485145484,2024,wheat
0.12736138905516792,0,0.9743589743589743,0.9072102281168637,0.09278977188313631,2024,ammonia
0.21349558644937106,0,0.971830985915493,0.8583186004815119,0.14168139951848813,2024,urea
0.25619573461418177,1,0.944,0.9068113693020904,0.09318863069790961,2024,lpg_propane
0.4849394984657842,0,0.9626865671641791,0.6761494633033112,0.32385053669668884,2024,lpg_butane
