year,layer,iterations,row_err,col_err,matrix_total,delta_norm
2020,wheat,1,0.0,0.0,38762866005.242004,0.0
2020,ammonia,1,0.0,0.0,4479417156.924,0.0
2020,urea,1,0.0,0.0,13607998810.117,0.0
2020,lpg_propane,1,0.0,0.0,28242578057.384003,0.0
2020,lpg_butane,1,0.0,0.0,14288918657.284,0.0
2021,wheat,1,0.0,0.0,47864148255.537994,0.0
2021,ammonia,1,0.0,0.0,9315500045.059,0.0
2021,urea,1,0.0,0.0,23192124639.556,0.0
2021,lpg_propane,1,0.0,0.0,49424538688.02599,0.0
2021,lpg_butane,1,0.0,0.0,24396935521.642,0.0
2022,wheat,1,0.0,0.0,59321296540.634,0.0
2022,ammonia,1,0.0,0.0,17423404580.677998,0.0
2022,urea,1,0.0,0.0,37984084812.412,0.0
2022,lpg_propane,1,0.0,0.0,59988275439.927,0.0
2022,lpg_butane,1,0.0,0.0,29642857052.334,0.0
2023,wheat,1,0.0,0.0,55549289091.05701,0.0
2023,ammonia,1,0.0,0.0,8422741617.706999,0.0
2023,urea,1,0.0,0.0,22012207184.594,0.0
2023,lpg_propane,1,0.0,0.0,50473965021.934,0.0
2023,lpg_butane,1,0.0,0.0,23336697169.418,0.0
2024,wheat,1,0.0,0.0,44172654658.704,0.0
2024,ammonia,1,0.0,0.0,6654135712.511001,0.0
2024,urea,1,0.0,0.0,18671203129.416,0.0
2024,lpg_propane,1,0.0,0.0,55451740900.723,0.0
2024,lpg_butane,1,0.0,0.0,24321642136.307,0.0
2025,wheat,1,0.0,0.0,30881005679.93,0.0
2025,ammonia,1,0.0,0.0,5651043019.321,0.0
2025,urea,1,0.0,0.0,19876195650.322998,0.0
2025,lpg_propane,1,0.0,0.0,27921428218.296997,0.0
2025,lpg_butane,1,0.0,0.0,14733467870.79,0.0
2026,wheat,1,0.0,0.0,1952797329.053,0.0
2026,ammonia,1,0.0,0.0,513016806.467,0.0
2026,urea,1,0.0,0.0,1482288151.9580002,0.0
2026,lpg_propane,1,0.0,0.0,1536702773.905,0.0
2026,lpg_butane,1,0.0,0.0,520854816.11399996,0.0
