iso3
ABW
AFG
AGO
ALB
AND
ARE
ARG
ARM
ATG
AUS
AUT
AZE
BDI
BEL
BEN
BFA
BGD
BGR
BHR
BHS
BIH
BLM
BLR
BLZ
BMU
BOL
BRA
BRB
BRN
BTN
BWA
CAF
CAN
CHE
CHL
CHN
CIV
CMR
COD
COG
COL
CPV
CRI
CUB
CUW
CYM
CYP
CZE
DEU
DJI
DNK
DOM
DZA
E19
ECU
EGY
ERI
ESP
EST
ETH
FIN
FJI
FRA
FRO
GAB
GBR
GEO
GHA
GIB
GIN
GMB
GNQ
GRC
GRD
GTM
GUY
HKG
HND
HRV
HTI
HUN
IDN
IND
IOT
IRL
IRN
IRQ
ISL
ISR
ITA
JAM
JOR
JPN
KAZ
KEN
KGZ
KHM
KIR
KNA
KOR
KWT
LAO
LBN
LBR
LBY
LCA
LKA
LSO
LTU
LUX
LVA
MAC
MAR
MDA
MDG
MDV
MEX
MHL
MKD
MLI
MLT
MMR
MNE
MNG
MOZ
MRT
MSR
MUS
MWI
MYS
NAM
NER
NFK
NGA
NIC
NLD
NOR
NPL
NRU
NZL
OMN
PAK
PAN
PER
PHL
PLW
PNG
POL
PRK
PRT
PRY
PSE
PYF
QAT
ROU
RUS
RWA
S19
SAU
SDN
SEN
SGP
SGS
SLB
SLE
SLV
SOM
SRB
SSD
STP
SUR
SVK
SVN
SWE
SWZ
SXM
SYC
SYR
TCA
TGO
THA
TJK
TKM
TLS
TON
TTO
TUN
TUR
TZA
UGA
UKR
URY
USA
UZB
VAT
VCT
VEN
VGB
VNM
VUT
WSM
X1 
X2 
XX 
YEM
ZAF
ZMB
ZWE
_X 
