refYear,layer,importer,world_total_imports_usd
2020,lpg_butane,HKG,159104636.115
2020,lpg_butane,HRV,20523339.0
2020,lpg_butane,HUN,47520850.0
2020,lpg_butane,IDN,1292840086.0
2020,lpg_butane,IND,3872142167.512
2020,lpg_butane,IRL,1522280.0
2020,lpg_butane,ISL,65080.429
2020,lpg_butane,ISR,6704000.0
2020,lpg_butane,ITA,11758905.662
2020,lpg_butane,JPN,683689377.04
2020,lpg_butane,KAZ,80248.419
2020,lpg_butane,KEN,144868022.094
2020,lpg_butane,KGZ,4773148.0
2020,lpg_butane,KHM,3341.98
2020,lpg_butane,KIR,295374.701
2020,lpg_butane,KOR,521827013.0
2020,lpg_butane,LSO,1000.938
2020,lpg_butane,LTU,1877981.0
2020,lpg_butane,LUX,248896.925
2020,lpg_butane,LVA,5832606.181
2020,lpg_butane,MAC,145717.13
2020,lpg_butane,MAR,1058330159.77
2020,lpg_butane,MDA,7215435.0
2020,lpg_butane,MDG,7397420.942
2020,lpg_butane,MEX,3387043.0
2020,lpg_butane,MKD,22140877.48
2020,lpg_butane,MLT,10425302.05
2020,lpg_butane,MMR,487621.69
2020,lpg_butane,MNE,4468552.78
2020,lpg_butane,MNG,6404856.13
2020,lpg_butane,MOZ,888.894
2020,lpg_butane,MRT,28623575.063
2020,lpg_butane,MSR,379.003
2020,lpg_butane,MUS,38039784.253
2020,lpg_butane,MWI,1997.0320000000002
2020,lpg_butane,MYS,13153214.804
2020,lpg_butane,NAM,181851.364
2020,lpg_butane,NGA,35894616.129999995
2020,lpg_butane,NIC,1086585.55
2020,lpg_butane,NLD,387739043.085
2020,lpg_butane,NZL,1366577.377
2020,lpg_butane,PAK,2198.552
2020,lpg_butane,PAN,46866403.0
2020,lpg_butane,PER,22195849.459999997
2020,lpg_butane,PHL,245967551.0
2020,lpg_butane,POL,34207267.0
2020,lpg_butane,PRT,48867848.503
2020,lpg_butane,PRY,6742281.0
2020,lpg_butane,PSE,39480.11
2020,lpg_butane,PYF,6889539.077
2020,lpg_butane,QAT,146457.157
2020,lpg_butane,ROU,11029052.59
2020,lpg_butane,RUS,15877771.65
2020,lpg_butane,RWA,12283269.63
2020,lpg_butane,SAU,5615892.126
2020,lpg_butane,SEN,114664885.12
2020,lpg_butane,SGP,5188756.7700000005
2020,lpg_butane,SLV,3380681.38
2020,lpg_butane,SRB,12050402.0
2020,lpg_butane,STP,185259.139
2020,lpg_butane,SVK,12434255.276
