,DE,SR,betweenness,katz,ppr,leontief,debtrank,pivi
DE,1.0,0.9977104923410124,0.3353730735416116,0.29799980358930617,0.47570181839605624,0.4678418839443561,0.4957977932073184,0.43310868316576634
SR,0.9977104923410124,1.0,0.34911456917756983,0.3028271496268483,0.48477224704307414,0.46512339133985214,0.4917684013985694,0.4363480006046057
betweenness,0.3353730735416116,0.34911456917756983,1.0,0.4621829454182627,0.6596357175949854,0.47851966683403685,0.47092650939859393,0.48802131846359087
katz,0.29799980358930617,0.3028271496268483,0.4621829454182627,1.0,0.8134670549226293,0.8760510340382037,0.8069678034458407,0.7193510523556901
ppr,0.47570181839605624,0.48477224704307414,0.6596357175949854,0.8134670549226293,1.0,0.8502928298792072,0.8551349240358946,0.8087823146932039
leontief,0.4678418839443561,0.46512339133985214,0.47851966683403685,0.8760510340382037,0.8502928298792072,1.0,0.948930028565175,0.8512920783810767
debtrank,0.4957977932073184,0.4917684013985694,0.47092650939859393,0.8069678034458407,0.8551349240358946,0.948930028565175,1.0,0.8646783220850733
pivi,0.43310868316576634,0.4363480006046057,0.48802131846359087,0.7193510523556901,0.8087823146932039,0.8512920783810767,0.8646783220850733,1.0
