year,layer,country,DE,SR,betweenness,katz,ppr,leontief,debtrank,pivi,z_DE,z_SR,z_betweenness,z_katz,z_ppr,z_leontief,z_debtrank,z_pivi,composite_z,composite_01,rank
2020,wheat,ABW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09128545287790378,-0.10430699442861624,-0.25885473165478384,-1.2232975127114791,-0.28869122168971884,-0.09281631670303178,-0.09189807160828699,-0.10194389684028746,-0.28163677481426347,0.0,124
2020,wheat,AFG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09128545287790378,-0.10430699442861624,-0.25885473165478384,-1.2232975127114791,-0.28869122168971884,-0.09281631670303178,-0.09189807160828699,-0.10194389684028746,-0.28163677481426347,0.0,124
2020,wheat,AGO,0.0,0.0,0.0,4.973114952936359,0.0061645706626179,3.058006893982565e-05,3.9920213597479044e-07,3.992021359747904e-07,-0.09128545287790378,-0.10430699442861624,-0.25885473165478384,0.6344685757900465,0.28033969626617306,-0.09177260847206388,-0.09188495961016967,-0.09975792981994291,0.022118199399092396,0.056522586021432265,34
2020,wheat,ALB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09128545287790378,-0.10430699442861624,-0.25885473165478384,-1.2232975127114791,-0.28869122168971884,-0.09281631670303178,-0.09189807160828699,-0.10194389684028746,-0.28163677481426347,0.0,124
2020,wheat,AND,0.0,0.0,0.0,5.0063692305109,9.79705403110034e-08,3.733396481612161e-05,5.65372199430919e-06,0.0,-0.09128545287790378,-0.10430699442861624,-0.25885473165478384,0.6468911056853434,-0.2886821783565271,-0.09154209569162963,-0.09171237222077194,-0.10194389684028746,-0.047679577048147084,0.043534647853306206,112
2020,wheat,ARG,0.0,0.0,0.0025780379041248,5.8738473533030255,4.857892996818432e-06,7.839909365384479e-05,7.631436482579229e-06,0.0,-0.09128545287790378,-0.10430699442861624,-0.14265539246554204,0.9709478496559659,-0.288242805820618,-0.09014052877371237,-0.09164741317794653,-0.10194389684028746,0.007590670658917435,0.0538193101490885,45
2020,wheat,ARM,0.0,0.0,0.0,5.899179963815706,7.737844581121124e-07,1.2199196546367524e-05,2.1573547807075746e-07,0.0,-0.09128545287790378,-0.10430699442861624,-0.25885473165478384,0.9804111468427495,-0.2886197962321165,-0.09239995394493293,-0.09189098566628572,-0.10194389684028746,-0.006111333100272122,0.05126964758586478,80
2020,wheat,ATG,0.0,0.0,0.0,6.050729354980296,1.0782180377262853e-07,8.626074271695413e-05,8.882339806670595e-06,0.0,-0.09128545287790378,-0.10430699442861624,-0.25885473165478384,1.037024219796632,-0.28868126901931657,-0.08987220799744813,-0.0916063266191525,-0.10194389684028746,0.0013091675448904348,0.05265045093607985,59
2020,wheat,AUS,0.0,0.0,0.0268952062430323,6.067263029325795,0.0007458178851064,8.305434710303857e-05,1.127800148546418e-07,1.127800148546418e-07,-0.09128545287790378,-0.10430699442861624,0.9533870231303068,1.0432005699932545,-0.21984726498669188,-0.08998164337840062,-0.09189436729107726,-0.1013263315248509,0.16224319232950257,0.08259698031628444,21
2020,wheat,AUT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09128545287790378,-0.10430699442861624,-0.25885473165478384,-1.2232975127114791,-0.28869122168971884,-0.09281631670303178,-0.09189807160828699,-0.10194389684028746,-0.28163677481426347,0.0,124
