period_dt,total_index,energy,non_energy,agriculture,beverages,food,oils_meals,grains,other_food,raw_materials,timber,other_raw_mat,fertilizers,metals_minerals,base_metals_ex_iron,precious_metals
1960-01-01,7.64,2.13444915445322,18.81589520307,22.0320871106,25.44330149114,21.19410147097,23.16907720375,23.57750535562,16.43850765528,22.33348675217,16.23922227558,28.99805773844,12.8618468473,12.89589240086,14.0736800082,3.26873458679
1960-02-01,7.6,2.13444915445322,18.68146974844,21.80845926478,25.1406604908,20.88540958087,22.47641358733,23.42698276517,16.49180075934,22.35670425853,16.23922227558,29.04666546537,12.8618468473,12.9291469329,14.11466486881,3.26873458679
1960-03-01,7.6,2.13444915445322,18.6723498476,21.89609655906,24.64208660345,21.05741260017,22.17552726324,23.75290998996,17.14661074173,22.53744732442,16.23922227558,29.42506568867,12.8618468473,12.72055899319,13.8575887018,3.26873458679
1960-04-01,7.65,2.13444915445322,18.83136331509,22.03953224199,24.86491133547,21.23286419535,22.40734001746,23.49333163876,17.64167910724,22.56273038654,16.23922227558,29.4779978236,12.8618468473,12.92957015045,14.11518646726,3.26873458679
1960-05-01,7.63,2.13444915445322,18.77482290923,22.04928593473,24.83571124925,21.08734159527,22.04824351167,23.85166963583,17.32106626395,22.9695451632,16.23922227558,30.32969745349,12.8618468473,12.7306535211,13.87002979762,3.26873458679
1960-06-01,7.57,2.13444915445322,18.58247785437,21.74254655868,24.73979761097,20.67925868054,21.68711283098,23.43158795328,16.86207386602,22.80182540269,16.23922227558,29.97856257309,12.8618468473,12.7510781937,13.89520237735,3.26873458679
1960-07-01,7.56,2.13444915445322,18.56063059421,21.68231275842,24.85431399611,20.82077264102,21.7478344622,23.2803620563,17.37484982242,22.16257507209,16.23922227558,28.64024031631,12.8618468473,12.80547532722,13.96224463588,3.26873458679
1960-08-01,7.55,2.13444915445322,18.54019130659,21.72621053884,24.8183322821,21.07348611239,22.08541131542,23.79731525297,17.27674219684,21.73975890361,16.23922227558,27.75504047875,12.8618468473,12.65077134211,13.77157825523,3.26873458679
1960-09-01,7.57,2.13444915445322,18.59175365162,21.87837108831,24.72137102334,21.30599005104,22.18619203648,24.14119560256,17.58172868907,21.82339391598,16.23922227558,27.93013713987,12.8618468473,12.50187666894,13.58807161569,3.26873458679
1960-10-01,7.41,2.13444915445322,18.10793848481,21.21845017446,24.78954693224,20.3191841329,21.4567155586,23.23559951443,16.1828748543,21.58743722538,16.23922227558,27.43614272868,12.8618468473,12.3243050756,13.36922183632,3.26873458679
1960-11-01,7.33,2.13444915445322,17.86110253292,20.7650557959,24.50978361137,19.7877572241,21.39484440141,22.37999497784,15.32713068356,21.23533968045,16.23922227558,26.69899804781,12.8618468473,12.47306651316,13.55256426839,3.26873458679
1960-12-01,7.4,2.13444915445322,18.06609414348,21.11086280163,23.81160744351,20.5169103081,22.21383463193,22.76087386355,16.25333316975,21.18062911405,16.23922227558,26.58445705317,12.8618468473,12.41253876037,13.47796627051,3.26873458679
1961-01-01,7.36,2.08333169406974,18.07633336213,21.22272507729,22.88503696991,21.09595301674,23.48551267407,23.56871187164,15.71405558986,20.68547054195,16.58552099154,25.1690968965,12.8959965526,12.21165193304,13.29412865533,3.26746421386
1961-02-01,7.46,2.08333169406974,18.37992682151,21.65426255318,22.93978652628,21.81351936098,25.30944229432,23.59229786251,15.60424920205,20.61367221182,16.58552099154,25.01878128677,12.8959965526,12.28731576615,13.38738125768,3.26746421386
1961-03-01,7.59,2.08333169406974,18.74613960153,22.19937645163,22.48881684051,22.69944918025,26.18782703874,23.96546181027,16.96423278148,20.83724223317,16.58552099154,25.48684320429,12.8959965526,12.32820261095,13.43777263388,3.26746421386
1961-04-01,7.64,2.08333169406974,18.91958193669,22.43809781984,22.12601364368,23.10623865817,27.61367164705,23.50445557568,16.81583977332,20.97349559491,16.58552099154,25.77210063451,12.8959965526,12.38745672438,13.51080092296,3.26746421386
1961-05-01,7.64,2.08333169406974,18.92336602115,22.35391667454,22.62199055405,22.84325128919,26.9865994263,24.04272121527,16.30659028459,21.02873588088,16.58552099154,25.88775063992,12.8959965526,12.57207230911,13.73833213573,3.26746421386
1961-06-01,7.55,2.08333169406974,18.65211590621,21.98211241923,22.6837176424,22.3251912562,25.48230225291,23.77058366034,16.86342305647,20.7918266677,16.58552099154,25.39176204568,12.8959965526,12.47625119589,13.62023650403,3.26746421386
1961-07-01,7.51,2.08333169406974,18.53113930013,21.84206605232,22.54524155262,22.12313808152,25.16696110251,24.37712186191,16.07851844188,20.80163139224,16.58552099154,25.41228902933,12.8959965526,12.38065093088,13.50241305879,3.26746421386
1961-08-01,7.47,2.08333169406974,18.39194751007,21.61907629711,22.59966273232,21.74223897937,24.55106457119,24.1780971896,15.84215796124,20.82123417602,16.58552099154,25.45332904224,12.8959965526,12.39751450883,13.52319673395,3.26746421386
1961-09-01,7.42,2.08333169406974,18.23072629336,21.38577306644,22.41501064723,21.39295254956,23.52288038945,24.04424885266,16.19102306652,20.84498140196,16.58552099154,25.50304577994,12.8959965526,12.36582055695,13.48413522504,3.26746421386
