period_dt,chokepoint_slug,portid,portname,n_container,n_dry_bulk,n_general_cargo,n_roro,n_tanker,n_cargo,n_total,capacity_container,capacity_dry_bulk,capacity_general_cargo,capacity_roro,capacity_tanker,capacity_cargo,capacity,n_days
2024-08-01,oresund,chokepoint10,Oresund Strait,189,179,582,86,357,1036,1393,446613,598722,954639,38701,825703,2038708,2864430,31
2024-08-01,panama,chokepoint2,Panama Canal,256,159,43,70,371,528,899,9700804,6446517,335790,277601,9835857,16760744,26596618,31
2024-08-01,suez,chokepoint1,Suez Canal,271,365,126,15,463,777,1240,5417807,15326002,637372,25609,17428228,21406828,38835070,31
2024-08-01,sunda,chokepoint19,Sunda Strait,118,378,102,27,394,625,1019,2360565,22998011,636286,111991,10013634,26106892,36120545,31
2024-08-01,taiwan,chokepoint11,Taiwan Strait,2754,1788,799,166,1470,5507,6977,57221170,78622750,4687507,366371,22122658,140897841,163020513,31
2024-08-01,torres,chokepoint18,Torres Strait,40,134,26,7,58,207,265,925757,2918596,72966,16357,887991,3933694,4821702,31
2024-08-01,tsugaru,chokepoint13,Tsugaru Strait,455,372,237,94,381,1158,1539,16429426,12361363,635124,271535,5134628,29697493,34832135,31
2024-08-01,windward,chokepoint23,Windward Passage,244,51,55,53,41,403,444,5902454,1624616,218023,168617,870166,7913742,8783915,31
2024-08-01,yucatan,chokepoint22,Yucatan Channel,295,221,101,24,793,641,1434,3513995,8336513,470218,49943,22437717,12370699,34808436,31
2024-09-01,bab_el_mandeb,chokepoint4,Bab el-Mandeb Strait,165,278,135,15,318,593,911,2194770,12237815,766169,18415,16043846,15217203,31261064,30
2024-09-01,balabac,chokepoint25,Balabac Strait,33,125,65,4,101,227,328,409957,4967956,208369,7293,982294,5593591,6575903,30
2024-09-01,bering,chokepoint26,Bering Strait,8,15,15,0,51,38,89,100654,344155,71005,0,1120220,515815,1636037,30
2024-09-01,bohai,chokepoint17,Bohai Strait,592,2645,565,63,955,3865,4820,10314572,131705078,1919116,120642,22618780,144059447,166678242,30
2024-09-01,bosporus,chokepoint3,Bosporus Strait,249,687,1089,19,704,2044,2748,1870712,16365934,2653140,9799,13830829,20899618,34730462,30
2024-09-01,cape_of_good_hope,chokepoint7,Cape of Good Hope,577,1262,129,80,541,2048,2589,33684709,96794415,1432137,370113,33705871,132281423,165987307,30
2024-09-01,dover,chokepoint9,Dover Strait,1071,696,1158,299,1760,3224,4984,27515826,25333416,3175019,665967,42142575,56690275,98832868,30
2024-09-01,gibraltar,chokepoint8,Gibraltar Strait,938,801,678,144,1289,2561,3850,29051530,30751401,2618679,373225,36919846,62794885,99714740,30
2024-09-01,hormuz,chokepoint6,Strait of Hormuz,599,510,160,105,1855,1374,3229,15981997,19505293,828017,230814,83277327,36546165,119823509,30
2024-09-01,kerch,chokepoint28,Kerch Strait,0,2,5,0,3,7,10,0,25622,7563,0,0,33185,33185,30
2024-09-01,korea,chokepoint12,Korea Strait,1858,1269,1735,301,1938,5163,7101,32413079,38643098,4140405,430964,26605983,75627594,102233594,30
2024-09-01,lombok,chokepoint15,Lombok Strait,3,864,56,7,246,930,1176,6438,81466914,188026,3743,4266878,81665135,85932032,30
2024-09-01,luzon,chokepoint14,Luzon Strait,221,963,129,64,681,1377,2058,4931285,82025634,848494,149760,44633120,87955212,132588347,30
2024-09-01,magellan,chokepoint21,Magellan Strait,10,73,5,5,34,93,127,234636,3003142,42041,16242,1377619,3296070,4673696,30
2024-09-01,makassar,chokepoint20,Makassar Strait,56,1362,84,5,138,1507,1645,605311,93083863,267032,4552,1946765,93960782,95907558,30
2024-09-01,malacca,chokepoint5,Malacca Strait,1745,1770,509,203,2387,4227,6614,49942802,95254912,2904626,576848,100976888,148679231,249656136,30
2024-09-01,mindoro,chokepoint27,Mindoro Strait,63,1032,73,3,86,1171,1257,728291,68450707,326844,7635,1224890,69513505,70738407,30
2024-09-01,mona,chokepoint24,Mona Passage,100,80,35,19,61,234,295,2353750,3174503,258680,36661,1806919,5823614,7630549,30
2024-09-01,ombai,chokepoint16,Ombai Strait,41,146,28,4,107,219,326,787588,12090151,104782,13526,1978062,12996070,14974140,30
2024-09-01,oresund,chokepoint10,Oresund Strait,167,195,577,70,334,1009,1343,371516,614631,976853,45688,593785,2008725,2602526,30
2024-09-01,panama,chokepoint2,Panama Canal,242,169,36,72,369,519,888,8851901,6530750,230780,270062,9296016,15883529,25179561,30
2024-09-01,suez,chokepoint1,Suez Canal,237,303,108,16,453,664,1117,5120564,13016882,550738,20294,17948818,18708510,36657342,30
2024-09-01,sunda,chokepoint19,Sunda Strait,126,344,116,28,354,614,968,2625091,23219066,486421,94936,8917892,26425546,35343455,30
2024-09-01,taiwan,chokepoint11,Taiwan Strait,2551,1813,789,175,1407,5328,6735,52153663,83340931,4633487,414699,21796176,140542821,162339018,30
2024-09-01,torres,chokepoint18,Torres Strait,46,143,32,5,52,226,278,996973,3704774,115801,12618,675562,4830191,5505763,30
2024-09-01,tsugaru,chokepoint13,Tsugaru Strait,422,454,259,94,413,1229,1642,16928624,16144292,746819,224567,6133685,34044348,40178047,30
2024-09-01,windward,chokepoint23,Windward Passage,251,44,55,54,60,404,464,5827142,1325339,216907,178155,1182478,7547579,8730071,30
2024-09-01,yucatan,chokepoint22,Yucatan Channel,272,261,107,27,779,667,1446,2999868,9223280,528625,52398,21674264,12804203,34478486,30
2024-10-01,bab_el_mandeb,chokepoint4,Bab el-Mandeb Strait,193,320,130,10,321,653,974,2727744,14000775,810382,4604,13973016,17543537,31516565,31
2024-10-01,balabac,chokepoint25,Balabac Strait,39,161,46,0,107,246,353,474099,6244443,159340,0,1175879,6877906,8053798,31
2024-10-01,bering,chokepoint26,Bering Strait,5,4,31,1,39,41,80,40693,382380,163969,3828,757469,590872,1348346,31
