period_dt,chokepoint_slug,portid,portname,n_container,n_dry_bulk,n_general_cargo,n_roro,n_tanker,n_cargo,n_total,capacity_container,capacity_dry_bulk,capacity_general_cargo,capacity_roro,capacity_tanker,capacity_cargo,capacity,n_days
2019-01-01,bab_el_mandeb,chokepoint4,Bab el-Mandeb Strait,523,318,128,88,525,1057,1582,30433499,15607605,881484,280993,24928786,47203626,72132423,31
2019-01-01,balabac,chokepoint25,Balabac Strait,42,188,42,0,120,272,392,279491,7511335,213490,0,1621347,8004340,9625700,31
2019-01-01,bering,chokepoint26,Bering Strait,23,31,14,7,20,75,95,562458,1407763,71969,12929,598801,2055131,2653936,31
2019-01-01,bohai,chokepoint17,Bohai Strait,533,1747,335,79,646,2694,3340,11360736,68238918,1424167,134324,9182144,81158192,90340349,31
2019-01-01,bosporus,chokepoint3,Bosporus Strait,249,668,1359,20,795,2296,3091,2136497,14820240,2772299,10977,15273748,19740048,35013812,31
2019-01-01,cape_of_good_hope,chokepoint7,Cape of Good Hope,192,762,87,47,372,1088,1460,5087922,44258569,826229,128253,27096069,50301020,77397104,31
2019-01-01,dover,chokepoint9,Dover Strait,1062,634,1233,366,1555,3295,4850,25494684,25540674,3541788,686853,29363856,55264049,84627921,31
2019-01-01,gibraltar,chokepoint8,Gibraltar Strait,799,714,508,150,1011,2171,3182,25976427,29388684,2014745,353858,27442481,57733767,85176264,31
2019-01-01,hormuz,chokepoint6,Strait of Hormuz,263,321,104,53,1174,741,1915,9606108,10328626,542803,107033,54153469,20584612,74738103,31
2019-01-01,kerch,chokepoint28,Kerch Strait,14,72,967,18,332,1071,1403,76534,516385,1223198,14533,1231293,1830670,3061975,31
2019-01-01,korea,chokepoint12,Korea Strait,1698,1215,1594,263,2060,4770,6830,21800484,31100153,3703527,315564,26043860,56919779,82963652,31
2019-01-01,lombok,chokepoint15,Lombok Strait,8,682,54,12,208,756,964,62997,51603487,147558,16124,3980041,51830190,55810242,31
2019-01-01,luzon,chokepoint14,Luzon Strait,167,946,147,81,730,1341,2071,3156690,68272329,842504,178451,40972487,72450013,113422516,31
2019-01-01,magellan,chokepoint21,Magellan Strait,9,46,9,5,33,69,102,112894,1752679,49911,18427,740116,1933918,2674037,31
2019-01-01,makassar,chokepoint20,Makassar Strait,59,1217,57,3,149,1336,1485,480775,63772989,131517,3396,1608727,64388700,65997440,31
2019-01-01,malacca,chokepoint5,Malacca Strait,1334,1289,375,180,2095,3178,5273,41043386,71342750,1898793,391727,92227230,114676705,206903950,31
2019-01-01,mindoro,chokepoint27,Mindoro Strait,32,1002,88,4,97,1126,1223,376423,53484680,259841,6013,1138689,54126980,55265683,31
2019-01-01,mona,chokepoint24,Mona Passage,104,69,47,18,95,238,333,1971329,3255745,283648,47343,2073502,5558100,7631615,31
2019-01-01,ombai,chokepoint16,Ombai Strait,29,193,37,2,123,261,384,579432,17234178,121960,0,2486656,17935591,20422258,31
2019-01-01,oresund,chokepoint10,Oresund Strait,186,183,691,119,376,1179,1555,378873,872085,1055400,95194,814271,2401596,3215886,31
2019-01-01,panama,chokepoint2,Panama Canal,219,230,57,77,367,583,950,6643067,8828683,399721,244274,9158348,16115783,25274149,31
2019-01-01,suez,chokepoint1,Suez Canal,509,311,145,76,497,1041,1538,29901439,15379492,776078,289185,23702966,46346232,70049211,31
2019-01-01,sunda,chokepoint19,Sunda Strait,96,308,57,15,309,476,785,1480383,17437408,190541,23878,6689964,19132244,25822219,31
2019-01-01,taiwan,chokepoint11,Taiwan Strait,2649,1946,903,210,1997,5708,7705,50015864,72938154,4646649,386142,29207513,127986858,157194386,31
2019-01-01,torres,chokepoint18,Torres Strait,45,131,42,10,55,228,283,952960,3515257,191487,13567,1327255,4673298,6000559,31
2019-01-01,tsugaru,chokepoint13,Tsugaru Strait,313,441,144,44,416,942,1358,10058956,14860961,429038,113647,3709282,25462644,29171941,31
2019-01-01,windward,chokepoint23,Windward Passage,196,81,68,41,88,386,474,3948527,2643590,235244,131477,1459934,6958877,8418822,31
2019-01-01,yucatan,chokepoint22,Yucatan Channel,265,240,116,39,682,660,1342,2437310,7646362,526679,118098,20058466,10728488,30786966,31
2019-02-01,bab_el_mandeb,chokepoint4,Bab el-Mandeb Strait,494,297,119,86,468,996,1464,30159132,14349221,665191,299015,23688489,45472607,69161113,28
2019-02-01,balabac,chokepoint25,Balabac Strait,27,128,45,0,104,200,304,180614,4764828,173456,0,1330644,5118920,6449576,28
2019-02-01,bering,chokepoint26,Bering Strait,16,24,7,6,12,53,65,445898,801626,10049,0,506895,1257580,1764477,28
2019-02-01,bohai,chokepoint17,Bohai Strait,441,1700,250,59,662,2450,3112,9208650,69703231,895867,107370,9759540,79915156,89674706,28
2019-02-01,bosporus,chokepoint3,Bosporus Strait,225,624,1187,19,721,2055,2776,2434430,15967930,2518503,9891,14882602,20930789,35813403,28
2019-02-01,cape_of_good_hope,chokepoint7,Cape of Good Hope,177,729,88,49,345,1043,1388,4719582,38644867,783454,109853,25886457,44257785,70144254,28
2019-02-01,dover,chokepoint9,Dover Strait,1060,557,1208,385,1547,3210,4757,25567924,22924876,3551525,854070,32079789,52898434,84978238,28
2019-02-01,gibraltar,chokepoint8,Gibraltar Strait,742,637,562,148,927,2089,3016,26015513,27658528,2075521,382976,25629772,56132582,81762372,28
2019-02-01,hormuz,chokepoint6,Strait of Hormuz,249,344,89,41,1088,723,1811,8838657,10023239,446274,87396,41404776,19395596,60800388,28
2019-02-01,kerch,chokepoint28,Kerch Strait,12,50,739,12,273,813,1086,17961,303999,960043,17033,768764,1299055,2067834,28
2019-02-01,korea,chokepoint12,Korea Strait,1412,1126,1507,226,1840,4271,6111,16853579,27001937,3183964,370900,23595398,47410417,71005832,28
2019-02-01,lombok,chokepoint15,Lombok Strait,9,657,52,14,194,732,926,42045,57679144,179905,19379,3533288,57920494,61453799,28
2019-02-01,luzon,chokepoint14,Luzon Strait,152,807,122,71,675,1152,1827,2865166,60210948,699255,120811,42157797,63896224,106054031,28
2019-02-01,magellan,chokepoint21,Magellan Strait,11,51,13,6,22,81,103,93958,1639581,85490,12322,331603,1831356,2162964,28
2019-02-01,makassar,chokepoint20,Makassar Strait,61,1120,59,3,135,1243,1378,610472,66545158,255704,3718,1334102,67415078,68749193,28
2019-02-01,malacca,chokepoint5,Malacca Strait,1197,1104,396,174,1964,2871,4835,35895704,59434581,2030850,419605,87751727,97780782,185532518,28
2019-02-01,mindoro,chokepoint27,Mindoro Strait,39,923,81,3,75,1046,1121,469555,50605172,375138,3718,776590,51453608,52230205,28
2019-02-01,mona,chokepoint24,Mona Passage,98,59,38,14,73,209,282,1960428,3634540,261794,22831,1618041,5879619,7497669,28
2019-02-01,ombai,chokepoint16,Ombai Strait,23,178,40,7,99,248,347,539586,16823453,153243,23352,2413668,17539655,19953333,28
2019-02-01,oresund,chokepoint10,Oresund Strait,191,171,704,100,346,1166,1512,454675,614460,1091924,69563,721541,2230657,2952211,28
2019-02-01,panama,chokepoint2,Panama Canal,195,229,44,63,323,531,854,6314832,9042509,322033,213058,7265365,15892468,23157847,28
2019-02-01,suez,chokepoint1,Suez Canal,494,286,126,74,428,980,1408,29629200,14344263,589764,285615,22891552,44848886,67740451,28
2019-02-01,sunda,chokepoint19,Sunda Strait,95,281,64,17,282,457,739,1490390,19044144,276277,29644,4636541,20840479,25477041,28
2019-02-01,taiwan,chokepoint11,Taiwan Strait,2024,1653,682,159,1745,4518,6263,39255682,62037677,3471049,304363,24043180,105068812,129112007,28
2019-02-01,torres,chokepoint18,Torres Strait,32,82,46,12,49,172,221,753053,2834511,182538,27049,854519,3797176,4651704,28
2019-02-01,tsugaru,chokepoint13,Tsugaru Strait,272,344,177,33,417,826,1243,8111638,10726013,415945,100539,3035988,19354175,22390175,28
2019-02-01,windward,chokepoint23,Windward Passage,173,84,71,46,77,374,451,3784575,2665599,297206,119100,1711392,6866514,8577918,28
2019-02-01,yucatan,chokepoint22,Yucatan Channel,228,222,100,28,537,578,1115,2130014,7732934,558292,60202,14356852,10481478,24838342,28
2019-03-01,bab_el_mandeb,chokepoint4,Bab el-Mandeb Strait,515,295,136,87,553,1033,1586,30909489,14652093,788599,330118,26057939,46680341,72738301,31
2019-03-01,balabac,chokepoint25,Balabac Strait,36,174,38,4,120,252,372,247196,6460194,120782,8391,1040219,6836585,7876818,31
2019-03-01,bering,chokepoint26,Bering Strait,15,23,6,6,12,50,62,527625,968824,22023,23877,519135,1542357,2061496,31
2019-03-01,bohai,chokepoint17,Bohai Strait,611,1995,382,88,770,3076,3846,13019545,78599269,1655141,192281,13841420,93466277,107307712,31
2019-03-01,bosporus,chokepoint3,Bosporus Strait,261,714,1496,27,809,2498,3307,2558383,18719141,2927107,13550,15845437,24218219,40063672,31
2019-03-01,cape_of_good_hope,chokepoint7,Cape of Good Hope,155,696,79,46,390,976,1366,4848492,39578529,808365,145069,31194600,45380495,76575110,31
2019-03-01,dover,chokepoint9,Dover Strait,1052,694,1258,422,1680,3426,5106,26536711,26558064,3460670,959702,36034821,57515189,93550025,31
2019-03-01,gibraltar,chokepoint8,Gibraltar Strait,791,754,589,174,1044,2308,3352,27287477,31152084,2402546,387316,32353357,61229470,93582843,31
2019-03-01,hormuz,chokepoint6,Strait of Hormuz,289,368,98,48,1300,803,2103,10955938,10521944,600177,62884,52658919,22140980,74799916,31
2019-03-01,kerch,chokepoint28,Kerch Strait,9,61,985,16,349,1071,1420,12260,405616,1301057,19644,1188602,1738598,2927213,31
2019-03-01,korea,chokepoint12,Korea Strait,1739,1194,1695,264,1898,4892,6790,22447889,30278842,4090915,378520,21922419,57196217,79118648,31
2019-03-01,lombok,chokepoint15,Lombok Strait,9,664,48,11,218,732,950,52791,46508281,144232,16914,4024518,46722235,50746769,31
2019-03-01,luzon,chokepoint14,Luzon Strait,137,794,120,88,605,1139,1744,2372383,55548057,577337,165846,40689185,58663663,99352864,31
2019-03-01,magellan,chokepoint21,Magellan Strait,11,44,9,8,26,72,98,103270,1400267,45253,12953,680261,1561745,2242012,31
2019-03-01,makassar,chokepoint20,Makassar Strait,61,1227,66,11,168,1365,1533,507418,60906608,203542,20310,1914350,61637902,63552272,31
2019-03-01,malacca,chokepoint5,Malacca Strait,1295,1238,439,185,1974,3157,5131,39899648,64790918,2218916,460172,93164803,107369703,200534520,31
2019-03-01,mindoro,chokepoint27,Mindoro Strait,38,946,78,6,132,1068,1200,517685,51057524,235821,8106,1614014,51819163,53433188,31
2019-03-01,mona,chokepoint24,Mona Passage,116,75,42,17,94,250,344,2221957,4768214,192576,30531,2753117,7213305,9966438,31
2019-03-01,ombai,chokepoint16,Ombai Strait,37,174,44,6,116,261,377,651832,14120775,95724,16223,2751481,14884586,17636082,31
2019-03-01,oresund,chokepoint10,Oresund Strait,195,178,756,117,343,1246,1589,383503,746720,1171477,76540,708758,2378280,3087058,31
2019-03-01,panama,chokepoint2,Panama Canal,199,215,62,71,379,547,926,5982287,8851863,425063,287972,7972975,15547226,23520217,31
2019-03-01,suez,chokepoint1,Suez Canal,498,299,133,78,526,1008,1534,30444051,15456204,734367,334858,26151198,46969527,73120740,31
2019-03-01,sunda,chokepoint19,Sunda Strait,110,298,89,18,302,515,817,1687811,16735304,311151,5450,6001288,18739746,24741052,31
2019-03-01,taiwan,chokepoint11,Taiwan Strait,2631,1835,958,211,1909,5635,7544,51492772,72199509,5425221,421479,24901152,129539024,154440193,31
2019-03-01,torres,chokepoint18,Torres Strait,48,124,48,11,72,231,303,868528,3305123,157399,21882,1246736,4352959,5599703,31
2019-03-01,tsugaru,chokepoint13,Tsugaru Strait,315,397,214,36,384,962,1346,10050967,12422726,516714,96010,3714830,23086456,26801302,31
2019-03-01,windward,chokepoint23,Windward Passage,191,69,88,49,78,397,475,3534971,2009645,327077,144910,1340234,6016643,7356888,31
2019-03-01,yucatan,chokepoint22,Yucatan Channel,264,224,128,34,644,650,1294,2364673,7743796,747635,61950,18269187,10918084,29187290,31
2019-04-01,bab_el_mandeb,chokepoint4,Bab el-Mandeb Strait,512,348,143,108,522,1111,1633,32592171,16872633,680140,379738,27740286,50524729,78265029,30
2019-04-01,balabac,chokepoint25,Balabac Strait,38,165,49,1,106,253,359,349966,7353084,140440,0,884913,7843510,8728438,30
2019-04-01,bering,chokepoint26,Bering Strait,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
2019-04-01,bohai,chokepoint17,Bohai Strait,606,2042,412,76,705,3136,3841,13366599,81720989,1766479,175234,12613794,97029346,109643150,30
2019-04-01,bosporus,chokepoint3,Bosporus Strait,261,602,1445,29,658,2337,2995,2601749,14453747,2608351,15111,12768081,19678984,32447077,30
2019-04-01,cape_of_good_hope,chokepoint7,Cape of Good Hope,161,771,76,35,331,1043,1374,5013553,40453601,836365,89084,29682584,46392637,76075236,30
2019-04-01,dover,chokepoint9,Dover Strait,1063,550,1178,383,1582,3174,4756,28261394,22448454,2931417,851493,32949263,54492802,87442080,30
2019-04-01,gibraltar,chokepoint8,Gibraltar Strait,819,758,598,158,1003,2333,3336,28399140,32112905,2249208,412157,25573654,63173453,88747123,30
2019-04-01,hormuz,chokepoint6,Strait of Hormuz,325,432,96,58,1376,911,2287,11707618,13513989,604668,100981,61397039,25927291,87324346,30
2019-04-01,kerch,chokepoint28,Kerch Strait,8,62,892,11,343,973,1316,11941,530962,1221707,11332,989541,1775960,2765513,30
2019-04-01,korea,chokepoint12,Korea Strait,1587,1178,1541,234,1801,4540,6341,23157409,31660869,3609910,321414,21935954,58749648,80685616,30
2019-04-01,lombok,chokepoint15,Lombok Strait,7,639,39,10,210,695,905,32993,53643729,154596,2270,4210243,53833601,58043861,30
2019-04-01,luzon,chokepoint14,Luzon Strait,152,709,121,72,584,1054,1638,2878076,49653469,595722,159773,40853775,53287075,94140868,30
2019-04-01,magellan,chokepoint21,Magellan Strait,10,55,12,7,26,84,110,109966,1775574,81478,10301,853742,1977324,2831072,30
2019-04-01,makassar,chokepoint20,Makassar Strait,61,1084,72,5,141,1222,1363,519258,58564431,220802,3828,1770139,59308343,61078494,30
2019-04-01,malacca,chokepoint5,Malacca Strait,1366,1249,400,191,1982,3206,5188,42738278,68798498,2421748,474557,91665348,114433121,206098482,30
2019-04-01,mindoro,chokepoint27,Mindoro Strait,37,923,91,7,89,1058,1147,360167,45618466,293310,17614,1325968,46289584,47615565,30
2019-04-01,mona,chokepoint24,Mona Passage,116,68,40,17,83,241,324,2372392,3064804,233175,46662,2654098,5717055,8371170,30
2019-04-01,ombai,chokepoint16,Ombai Strait,45,191,44,7,95,287,382,660522,18223400,142244,16356,1956488,19042543,20999043,30
2019-04-01,oresund,chokepoint10,Oresund Strait,226,160,787,138,354,1311,1665,501339,573648,1254667,102613,649082,2432310,3081404,30
2019-04-01,panama,chokepoint2,Panama Canal,200,205,66,66,352,537,889,6639699,8340080,408358,280424,8326225,15668597,23994840,30
2019-04-01,suez,chokepoint1,Suez Canal,518,323,158,91,477,1090,1567,31394018,16993628,618245,367220,26419724,49373157,75792894,30
2019-04-01,sunda,chokepoint19,Sunda Strait,104,264,73,13,309,454,763,1475923,15502065,242930,14251,8150355,17235203,25385573,30
2019-04-01,taiwan,chokepoint11,Taiwan Strait,2569,1878,899,199,1808,5545,7353,52278891,70935270,4964671,434333,24463199,128613208,153076423,30
2019-04-01,torres,chokepoint18,Torres Strait,54,110,38,8,56,210,266,977450,2778792,184321,19896,935984,3960480,4896472,30
2019-04-01,tsugaru,chokepoint13,Tsugaru Strait,314,469,214,44,368,1041,1409,11235191,15517234,443261,117179,2990631,27312899,30303544,30
2019-04-01,windward,chokepoint23,Windward Passage,211,58,86,40,91,395,486,4087882,1688256,290989,125798,2004145,6192964,8197122,30
2019-04-01,yucatan,chokepoint22,Yucatan Channel,267,222,120,46,606,655,1261,2280930,7863342,637799,140074,17176764,10922177,28098955,30
2019-05-01,bab_el_mandeb,chokepoint4,Bab el-Mandeb Strait,520,332,116,92,529,1060,1589,33021324,16827869,661482,344582,25917760,50855296,76773077,31
2019-05-01,balabac,chokepoint25,Balabac Strait,41,174,44,1,132,260,392,249739,8628244,168637,0,1113242,9046643,10159899,31
2019-05-01,bering,chokepoint26,Bering Strait,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31
2019-05-01,bohai,chokepoint17,Bohai Strait,728,2688,504,95,877,4015,4892,15182801,105082155,2047121,190560,16627198,122502687,139129900,31
2019-05-01,bosporus,chokepoint3,Bosporus Strait,249,598,1459,29,736,2335,3071,2192324,15184420,2754901,15778,14785232,20147464,34932710,31
2019-05-01,cape_of_good_hope,chokepoint7,Cape of Good Hope,172,788,68,47,346,1075,1421,5453264,49090496,807677,114807,28297742,55466278,83764036,31
2019-05-01,dover,chokepoint9,Dover Strait,1079,597,1200,402,1566,3278,4844,27784583,24596820,3463428,790205,32775803,56635085,89410900,31
2019-05-01,gibraltar,chokepoint8,Gibraltar Strait,872,804,607,173,1068,2456,3524,29049454,33543127,2177253,399211,30254594,65169096,95423706,31
2019-05-01,hormuz,chokepoint6,Strait of Hormuz,389,482,103,51,1613,1025,2638,13928816,14358673,705390,80085,81432506,29073008,110505529,31
2019-05-01,kerch,chokepoint28,Kerch Strait,7,43,1029,14,477,1093,1570,40106,364084,1491348,15456,1512390,1911010,3423416,31
2019-05-01,korea,chokepoint12,Korea Strait,1716,1214,1746,291,1909,4967,6876,24322865,30286915,3990375,485473,22774379,59085672,81860066,31
2019-05-01,lombok,chokepoint15,Lombok Strait,5,721,48,8,230,782,1012,33313,58377197,173368,8328,4158209,58592221,62750450,31
2019-05-01,luzon,chokepoint14,Luzon Strait,148,801,111,58,628,1118,1746,2744532,55239415,599400,111282,39098244,58694658,97792919,31
2019-05-01,magellan,chokepoint21,Magellan Strait,8,60,4,7,27,79,106,115934,2498374,38815,16063,624518,2669194,3293718,31
2019-05-01,makassar,chokepoint20,Makassar Strait,64,1325,68,7,150,1464,1614,639017,71817643,158575,10800,1955168,72626064,74581247,31
2019-05-01,malacca,chokepoint5,Malacca Strait,1326,1203,400,177,2102,3106,5208,42754346,62916112,2360332,431665,89405156,108462501,197867669,31
2019-05-01,mindoro,chokepoint27,Mindoro Strait,53,1211,87,5,121,1356,1477,587537,63231903,336014,9193,2069962,64164676,66234653,31
2019-05-01,mona,chokepoint24,Mona Passage,116,83,43,14,68,256,324,2240049,4883523,256111,36533,1885098,7416245,9301354,31
2019-05-01,ombai,chokepoint16,Ombai Strait,46,206,38,4,99,294,393,727591,18758330,79852,15920,1766770,19581719,21348498,31
2019-05-01,oresund,chokepoint10,Oresund Strait,215,185,787,140,379,1327,1706,446835,638630,1239267,136602,761016,2461373,3222405,31
2019-05-01,panama,chokepoint2,Panama Canal,209,229,57,73,377,568,945,6756349,8901907,396345,264465,10034837,16319111,26353961,31
2019-05-01,suez,chokepoint1,Suez Canal,558,311,154,79,495,1102,1597,33625071,15846657,651571,315246,25445153,50438580,75883754,31
2019-05-01,sunda,chokepoint19,Sunda Strait,115,275,88,17,297,495,792,1580863,14054728,340111,21334,5847365,15997074,21844450,31
2019-05-01,taiwan,chokepoint11,Taiwan Strait,2667,1900,918,230,1910,5715,7625,52727332,72318608,5367641,515819,28183061,130929444,159112519,31
2019-05-01,torres,chokepoint18,Torres Strait,61,95,36,10,49,202,251,1057256,2949823,157624,26528,557501,4191250,4748758,31
2019-05-01,tsugaru,chokepoint13,Tsugaru Strait,334,411,217,60,372,1022,1394,11564190,11211281,605233,133218,4072168,23513963,27586142,31
2019-05-01,windward,chokepoint23,Windward Passage,212,73,90,57,75,432,507,4175515,2014868,315307,174151,1328274,6679875,8008156,31
2019-05-01,yucatan,chokepoint22,Yucatan Channel,234,249,131,26,651,640,1291,2187268,8204384,675623,67360,19350468,11134670,30485155,31
2019-06-01,bab_el_mandeb,chokepoint4,Bab el-Mandeb Strait,507,306,111,95,494,1019,1513,31759778,14986769,696351,302640,25978621,47745574,73724213,30
2019-06-01,balabac,chokepoint25,Balabac Strait,37,170,45,1,119,253,372,230431,8336061,96796,0,1106716,8663310,9770043,30
2019-06-01,bering,chokepoint26,Bering Strait,0,1,0,0,2,1,3,0,43504,0,0,31286,43504,74790,30
2019-06-01,bohai,chokepoint17,Bohai Strait,745,2605,529,100,938,3979,4917,15279750,101577949,2103399,206665,17428449,119167810,136596275,30
2019-06-01,bosporus,chokepoint3,Bosporus Strait,262,550,1361,27,716,2200,2916,2754014,13635873,2587522,18114,16066155,18995559,35061729,30
2019-06-01,cape_of_good_hope,chokepoint7,Cape of Good Hope,162,881,71,34,354,1148,1502,5438822,59069126,869283,107893,30894847,65485161,96380024,30
2019-06-01,dover,chokepoint9,Dover Strait,1042,580,1231,398,1614,3251,4865,25887326,24361401,3336176,820539,32304671,54405493,86710181,30
2019-06-01,gibraltar,chokepoint8,Gibraltar Strait,875,750,603,183,1077,2411,3488,28950862,30383647,2295478,424869,29313497,62054898,91368410,30
2019-06-01,hormuz,chokepoint6,Strait of Hormuz,363,458,101,53,1557,975,2532,13284460,15336839,563371,58992,79057927,29243697,108301639,30
2019-06-01,kerch,chokepoint28,Kerch Strait,10,33,987,9,415,1039,1454,79234,294330,1364717,9342,1312543,1747638,3060196,30
2019-06-01,korea,chokepoint12,Korea Strait,1680,1217,1677,286,1845,4860,6705,23560560,30476152,4079512,419980,22695859,58536247,81232118,30
2019-06-01,lombok,chokepoint15,Lombok Strait,7,728,49,6,218,790,1008,57737,61184845,142088,17639,4424538,61402324,65826876,30
2019-06-01,luzon,chokepoint14,Luzon Strait,140,861,125,66,631,1192,1823,2169667,60057086,680816,149653,43170339,63057264,106227618,30
2019-06-01,magellan,chokepoint21,Magellan Strait,10,55,6,7,19,78,97,131007,1843596,40115,18871,651433,2033595,2685032,30
2019-06-01,makassar,chokepoint20,Makassar Strait,47,1232,49,4,151,1332,1483,506124,71966830,200095,1087,1946247,72674159,74620419,30
2019-06-01,malacca,chokepoint5,Malacca Strait,1261,1103,377,165,1965,2906,4871,41965384,60152688,2146766,416056,77600263,104680938,182281217,30
2019-06-01,mindoro,chokepoint27,Mindoro Strait,46,1142,94,5,111,1287,1398,426569,63561321,328007,8956,1787031,64324877,66111923,30
2019-06-01,mona,chokepoint24,Mona Passage,123,72,37,13,83,245,328,2547667,3135332,207884,25048,2042517,5915958,7958493,30
2019-06-01,ombai,chokepoint16,Ombai Strait,41,206,28,4,90,279,369,703156,17267851,85098,12190,1889601,18068321,19957932,30
2019-06-01,oresund,chokepoint10,Oresund Strait,217,170,786,140,375,1313,1688,437982,454886,1260222,128753,795584,2281884,3077486,30
2019-06-01,panama,chokepoint2,Panama Canal,205,199,67,65,367,536,903,6230024,7784997,558133,254031,9360169,14827230,24187411,30
2019-06-01,suez,chokepoint1,Suez Canal,513,270,158,78,463,1019,1482,31683421,15166481,726711,252610,24849989,47829264,72679271,30
2019-06-01,sunda,chokepoint19,Sunda Strait,80,227,56,12,274,375,649,1138742,15396530,205932,13148,6070714,16754379,22825112,30
2019-06-01,taiwan,chokepoint11,Taiwan Strait,2682,1931,918,219,1851,5750,7601,53208356,73799961,5128540,436394,27005472,132573302,159578786,30
2019-06-01,torres,chokepoint18,Torres Strait,56,117,40,11,46,224,270,998225,3121252,132358,15658,834292,4267518,5101816,30
2019-06-01,tsugaru,chokepoint13,Tsugaru Strait,316,392,234,63,335,1005,1340,10819388,11827526,592086,141656,3993882,23380695,27374590,30
2019-06-01,windward,chokepoint23,Windward Passage,215,54,91,54,73,414,487,3764065,1691014,363507,148155,1347858,5966780,7314643,30
2019-06-01,yucatan,chokepoint22,Yucatan Channel,250,201,126,35,656,612,1268,2311734,6219835,550461,70230,19997960,9152297,29150270,30
2019-07-01,bab_el_mandeb,chokepoint4,Bab el-Mandeb Strait,527,358,156,99,504,1140,1644,33353608,17859118,852668,400904,23492944,52466345,75959307,31
2019-07-01,balabac,chokepoint25,Balabac Strait,41,143,50,3,104,237,341,226326,7771777,147395,2400,690019,8147920,8837953,31
2019-07-01,bering,chokepoint26,Bering Strait,0,8,9,0,12,17,29,0,66792,28721,0,148932,95513,244447,31
2019-07-01,bohai,chokepoint17,Bohai Strait,787,2806,572,94,1096,4259,5355,15732977,112726674,2397975,150606,19461448,131008278,150469740,31
2019-07-01,bosporus,chokepoint3,Bosporus Strait,249,765,1414,23,800,2451,3251,2613638,19641204,2872261,18711,18413591,25145854,43559459,31
2019-07-01,cape_of_good_hope,chokepoint7,Cape of Good Hope,181,901,83,40,356,1205,1561,5674246,66665356,1043261,142029,27804647,73524933,101329593,31
2019-07-01,dover,chokepoint9,Dover Strait,1077,515,1212,399,1595,3203,4798,27235227,19481489,3386257,816971,32591312,50919989,83511315,31
2019-07-01,gibraltar,chokepoint8,Gibraltar Strait,868,728,590,157,1120,2343,3463,28949410,31601568,2309415,456584,30361309,63317027,93678356,31
2019-07-01,hormuz,chokepoint6,Strait of Hormuz,407,470,130,66,1536,1073,2609,13214170,14380881,722227,96044,76653290,28413361,105066666,31
2019-07-01,kerch,chokepoint28,Kerch Strait,18,66,1592,15,482,1691,2173,122899,522093,2330993,21552,2042485,2997565,5040061,31
2019-07-01,korea,chokepoint12,Korea Strait,1813,1344,1726,278,1922,5161,7083,25737835,35504366,4199699,455932,25984152,65897882,91882054,31
2019-07-01,lombok,chokepoint15,Lombok Strait,8,714,43,3,236,768,1004,59897,59115691,192092,2981,5130749,59370681,64501441,31
2019-07-01,luzon,chokepoint14,Luzon Strait,143,942,98,73,662,1256,1918,2633673,67179519,547070,143064,45212872,70503367,115716258,31
2019-07-01,magellan,chokepoint21,Magellan Strait,9,61,4,5,34,79,113,108319,2304908,44544,8077,1090787,2465851,3556643,31
2019-07-01,makassar,chokepoint20,Makassar Strait,72,1337,72,5,132,1486,1618,709791,73121253,220359,9491,1473570,74060918,75534499,31
2019-07-01,malacca,chokepoint5,Malacca Strait,1306,1253,410,184,1999,3153,5152,41646093,66759351,2309455,469772,85809344,111184716,196994077,31
2019-07-01,mindoro,chokepoint27,Mindoro Strait,57,1286,91,8,103,1442,1545,487174,65952896,364336,14392,1817595,66818828,68636437,31
2019-07-01,mona,chokepoint24,Mona Passage,116,69,46,18,81,249,330,2469827,3504806,258957,32916,2015084,6266542,8281639,31
2019-07-01,ombai,chokepoint16,Ombai Strait,43,203,43,4,104,293,397,774273,19073545,127782,3375,1964340,19979000,21943351,31
2019-07-01,oresund,chokepoint10,Oresund Strait,212,161,732,157,389,1262,1651,569106,450731,1198084,107816,1038490,2325779,3364279,31
2019-07-01,panama,chokepoint2,Panama Canal,223,218,70,77,348,588,936,6702171,8404532,545464,259624,9252671,15911838,25164526,31
2019-07-01,suez,chokepoint1,Suez Canal,553,352,154,76,461,1135,1596,32644971,18349989,828946,345558,23448510,52169509,75618036,31
2019-07-01,sunda,chokepoint19,Sunda Strait,109,267,75,12,328,463,791,1535422,16402484,266158,15233,8534577,18219326,26753920,31
2019-07-01,taiwan,chokepoint11,Taiwan Strait,2750,2019,975,227,1988,5971,7959,55378973,81092295,5555191,440883,26679706,142467389,169147110,31
2019-07-01,torres,chokepoint18,Torres Strait,51,114,34,10,51,209,260,1102463,3197388,128845,13350,862750,4442068,5304826,31
2019-07-01,tsugaru,chokepoint13,Tsugaru Strait,368,472,233,63,378,1136,1514,12853528,14020441,660234,184866,5990551,27719107,33709670,31
2019-07-01,windward,chokepoint23,Windward Passage,242,71,103,63,78,479,557,4537262,2098996,418772,142503,1857247,7197575,9054836,31
2019-07-01,yucatan,chokepoint22,Yucatan Channel,252,200,136,37,601,625,1226,2458737,6349243,725765,95797,16510962,9629578,26140553,31
2019-08-01,bab_el_mandeb,chokepoint4,Bab el-Mandeb Strait,534,400,137,100,506,1171,1677,32616183,20694162,801950,314323,24479341,54426657,78906014,31
