layer,n,T,rho,b_log_price,se_log_price,b_DE,se_DE,b_DWT,se_DWT,z_rho,p_rho
wheat,91,5,0.10698958661503927,0.6434107559927504,0.3139973111912783,-12.650320167900318,18.416457686671297,-0.27577930154646013,0.6086069071916632,1.672196925237972,0.0944854966149608
ammonia,91,5,0.11955821882707646,0.4255153253786483,0.25686209719629893,-0.9526643896083739,0.44963302986693415,1.386467662531643,0.7047930331612483,1.733167604438937,0.0830658831770012
urea,90,5,0.05499129580257776,0.5214925624713065,0.14112435739312,1.4136728271333436,0.583692016153093,0.7862831473193502,0.46684292473899286,0.8098705959800708,0.41801455302188584
lpg_propane,82,5,0.02219270509205326,0.34076208816203535,0.2135667655407694,0.9202747907468437,0.4572772125903799,2.032027181059955,0.35778978394992716,0.3179110970897537,0.7505523747071858
lpg_butane,86,5,0.11120371146170188,0.632931349761878,0.7472734272966253,2.440104184027969,0.5671697963075217,-0.3402940214239977,1.9103603893063614,1.663667382479794,0.09617891799964295
