layer,lag_order,gc_pval,irf_peak,irf_peak_horizon
wheat,1,0.2718723583857441,-0.0056420752433350594,1
ammonia,1,0.01039195182063785,-0.01524678695167295,1
urea,1,0.3364439354769638,-0.009540037698649247,1
lpg_propane,1,0.2636685635467484,-0.009833483525218706,1
lpg_butane,1,0.7176067112303989,-0.0026752781873376603,2
