layer,n_obs,const,se_const,b_lp,se_b_lp,b_DE,se_b_DE,b_DWT,se_b_DWT,theta_lp,se_theta_lp,theta_DE,se_theta_DE,theta_DWT,se_theta_DWT,total_lp,total_DE
wheat,455,15.495204777826558,1.773636130870915,0.9080463245739808,0.6690131748710331,-13.818116416568026,20.730983786262318,-1.695863182604048,1.2192628996391608,-0.4415256611874243,0.7669330582298942,0.20569198470829875,33.080847598827404,2.1547889796262165,1.4258830869701788,0.4665206633865565,-13.612424431859727
ammonia,455,14.128289450158118,1.9775043942626904,-0.04791282546759186,0.4573489588200843,-0.9563738200077729,0.5027538435843167,1.0936883195893996,1.231294710634873,0.7608209701128956,0.5674744366371749,0.14075295578379254,1.771279038358483,0.7429654974522073,1.5568899239797653,0.7129081446453037,-0.8156208642239804
urea,450,14.7986209215016,1.3328812877260587,0.007471551552815592,0.29920762793105876,1.5653744204310882,0.6574680080656957,2.3631217605945203,0.9463454520212583,0.75416595219124,0.34697354697529803,1.6662858861599865,1.8712327139200835,-2.152269284155156,1.0916361562211663,0.7616375037440557,3.231660306591075
lpg_propane,410,12.273336731213492,0.8411261114014881,0.24981369433392997,0.43142621322913927,0.9259947007609334,0.516618993697254,1.6327670057849062,0.7243388540125341,0.1448558583794295,0.5135181181982177,0.26635603699440846,0.5177377813545393,0.6146192184002618,0.8455764708121901,0.39466955271335946,1.192350737755342
lpg_butane,430,17.184988919588157,1.052098170702035,2.9608089007731473,1.2141478609098004,2.4945184034848156,0.655466166906038,-6.8126582144651096,3.1290253155564858,-3.8944465803625157,1.5104406794634664,1.0736742886976245,1.0776700809323336,10.774116762430232,3.8867661193957317,-0.9336376795893684,3.56819269218244
